index,Game,Date,Winning team,Winning Team Points,Winning Team Conference,Score,Losing team,Losing Team Points,Losing Team Conference,Venue,City,Attendance,Network,Average U.S. Viewers,Rating,Share,Cost Per 30s Ad,Notes
0,I,1/15/1967,Green Bay Packers,35,NFL,35–10,Kansas City Chiefs,10,AFL,Los Angeles Memorial Coliseum,"Los Angeles, California",61946,CBS/NBC,51180000,41.1,79.0,40000,"Super Bowl I was aired on both CBS and NBC, values for Average U.S. Viewers, Rating and Share are summed across the networks.  The value for cost per 30 seconds of  ad are averaged across the networks"
1,II,1/14/1968,Green Bay Packers,33,NFL,33–14,Oakland Raiders,14,AFL,Miami Orange Bowl,"Miami, Florida",75546,CBS,39120000,36.8,68.0,54500,
2,III,1/12/1969,New York Jets,16,AFL,16–7,Baltimore Colts,7,NFL,Miami Orange Bowl,"Miami, Florida",75389,NBC,41660000,36.0,70.0,55000,
3,IV,1/11/1970,Kansas City Chiefs,23,AFL,23–7,Minnesota Vikings,7,NFL,Tulane Stadium,"New Orleans, Louisiana",80562,CBS,44270000,39.4,69.0,78200,
4,V,1/17/1971,Baltimore Colts,16,AFC,16–13,Dallas Cowboys,13,NFC,Miami Orange Bowl,"Miami, Florida",79204,NBC,46040000,39.9,75.0,72500,
5,VI,1/16/1972,Dallas Cowboys,24,NFC,24–3,Miami Dolphins,3,AFC,Tulane Stadium,"New Orleans, Louisiana",81023,CBS,56640000,44.2,74.0,86100,
6,VII,1/14/1973,Miami Dolphins,14,AFC,14–7,Washington Redskins,7,NFC,Los Angeles Memorial Coliseum,"Los Angeles, California",90182,NBC,53320000,42.7,72.0,88100,
7,VIII,1/13/1974,Miami Dolphins,24,AFC,24–7,Minnesota Vikings,7,NFC,Rice Stadium,"Houston, Texas",71882,CBS,51700000,41.6,73.0,103500,
8,IX,1/12/1975,Pittsburgh Steelers,16,AFC,16–6,Minnesota Vikings,6,NFC,Tulane Stadium,"New Orleans, Louisiana",80997,NBC,56050000,42.4,72.0,107000,
9,X,1/18/1976,Pittsburgh Steelers,21,AFC,21–17,Dallas Cowboys,17,NFC,Miami Orange Bowl,"Miami, Florida",80187,CBS,57710000,42.3,78.0,110000,
